MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
1910;19.02;261.79;1813.4;-432.338;-17.566;1.93
1920;18.16;262.11;1822.9;-435.494;-18.012;2.6
1930;17.32;262.45;1832.4;-438.513;-18.422;2.54
1940;16.56;262.81;1842;-441.403;-18.796;2.3
1950;15.62;263.53;1851.6;-444.155;-19.126;2.88
1960;14.58;264.78;1861.2;-446.746;-19.392;3.27
1970;13.75;265.49;1870.9;-449.184;-19.6;2.54
1980;13.12;265.75;1880.7;-451.501;-19.778;1.9
1990;12.11;266;1890.4;-453.679;-19.935;3.03
2000;10.9;266.44;1900.2;-455.669;-20.067;3.64
2010;10.04;267.49;1910.1;-457.483;-20.164;2.64
2020;9.28;269;1919.9;-459.161;-20.216;2.4
2030;8.48;271.02;1929.8;-460.704;-20.217;2.58
2040;7.52;273.53;1939.7;-462.094;-20.164;3.06
2050;6.87;275.05;1949.6;-463.343;-20.071;2.03
2060;6.28;277.53;1959.6;-464.481;-19.946;1.96
2070;5.66;282.49;1969.5;-465.505;-19.768;2.42
2080;5.24;287.86;1979.5;-466.421;-19.521;1.98
2090;4.77;293.02;1989.4;-467.238;-19.219;1.95
2100;4.19;297.86;1999.4;-467.944;-18.885;2.08
2110;3.37;306.5;2009.4;-468.503;-18.54;2.99
2120;2.89;317.71;2019.3;-468.909;-18.178;2.33
2130;2.79;328.96;2029.3;-469.204;-17.783;1.7
2140;2.93;341.18;2039.3;-469.412;-17.333;1.87
2150;3.39;355.71;2049.3;-469.517;-16.796;2.76
2160;3.94;7.56;2059.3;-469.494;-16.161;2.8
2170;4.35;16.27;2069.3;-469.342;-15.456;2.25
2180;4.85;25.12;2079.2;-469.057;-14.709;2.6
2190;5.41;33.13;2089.2;-468.619;-13.932;2.72
2200;6;38.53;2099.1;-468.036;-13.128;2.39
2210;6.56;42.36;2109.1;-467.326;-12.297;2.1
2220;7.3;46.42;2119;-466.481;-11.437;2.66
2230;8.25;51.54;2128.9;-465.459;-10.553;3.52
2240;9.24;55.2;2138.8;-464.237;-9.648;3.41
2250;10.14;57.43;2148.7;-462.836;-8.716;2.92
2260;11.11;59.85;2158.5;-461.261;-7.759;3.2
2270;12.04;61.78;2168.3;-459.509;-6.781;3.02
2280;12.77;63.25;2178;-457.603;-5.791;2.39
2290;13.29;64.43;2187.8;-455.579;-4.797;1.75
2300;13.92;65.47;2197.5;-453.448;-3.802;2.03
2310;14.69;65.98;2207.2;-451.196;-2.786;2.34
2320;15.47;66.14;2216.9;-448.818;-1.731;2.34
2330;16.18;66.32;2226.5;-446.322;-0.632;2.14
2340;16.93;66.49;2236.1;-443.711;0.509;2.25
2350;17.72;66.96;2245.6;-440.975;1.685;2.41
2360;18.61;67.36;2255.1;-438.102;2.895;2.7
2370;19.52;67.72;2264.6;-435.084;4.143;2.75
2380;20.43;68.12;2274;-431.918;5.427;2.76
2390;21.25;68.32;2283.3;-428.614;6.747;2.47
2400;21.92;68.35;2292.6;-425.195;8.105;2.01
2410;22.61;68.54;2301.9;-421.672;9.497;2.08
2420;23.43;68.67;2311.1;-418.03;10.923;2.46
2430;24.36;68.72;2320.2;-414.257;12.395;2.79
2440;25.31;68.55;2329.3;-410.345;13.925;2.86
2450;26.29;68.14;2338.3;-406.3;15.531;2.99
2460;27.23;67.77;2347.2;-402.127;17.221;2.86
2470;28.23;67.35;2356.1;-397.827;18.998;3.06
2480;29.08;67.17;2364.8;-393.404;20.851;2.56
2490;30.08;67.26;2373.5;-388.853;22.763;3
2500;31.02;67.18;2382.1;-384.167;24.731;2.82
2510;31.64;67.35;2390.7;-379.371;26.741;1.88
2520;32.15;67.45;2399.2;-374.493;28.771;1.54
2530;32.87;67.45;2407.6;-369.53;30.832;2.16
