MD (m RKB);Inc (deg);Azim (deg);TVD (m RKB);E/W (m);N/S (m);DLS (deg/30m)
1822.9;58.85;283.01;1442.8;-759.698;226.047;2
1832.9;58.73;282.41;1448;-767.767;227.882;1.58
1843;58.67;282.18;1453.2;-776.436;229.768;0.61
1852.9;58.72;282.03;1458.4;-784.795;231.603;0.41
1862.9;58.7;281.97;1463.6;-793.084;233.348;0.17
1872.9;58.68;282.07;1468.8;-801.513;235.073;0.26
1883;58.74;281.92;1474;-809.811;236.879;0.42
1893;58.64;281.87;1479.2;-818.22;238.664;0.33
1902.9;58.54;281.85;1484.4;-826.649;240.369;0.31
1913;58.68;281.82;1489.6;-834.958;242.144;0.43
1922.9;58.88;281.72;1494.7;-843.407;243.88;0.65
1932.9;58.84;281.63;1499.9;-851.726;245.595;0.26
1942.9;58.75;281.66;1505.1;-860.225;247.29;0.28
1953;58.64;281.6;1510.3;-868.574;248.955;0.36
1963;58.67;281.42;1515.5;-876.813;250.701;0.47
1972.9;58.63;281.41;1520.7;-885.292;252.296;0.12
1982.9;58.82;281.52;1525.9;-893.651;253.941;0.64
1992.9;58.75;281.38;1531.1;-902.1;255.736;0.42
2002.9;58.75;281.42;1536.3;-910.369;257.442;0.1
2012.9;58.81;282.46;1541.5;-918.857;259.237;2.68
2022.9;58.81;282.64;1546.7;-926.716;260.982;0.46
2033;58.84;282.67;1551.9;-935.195;262.797;0.12
2042.9;58.78;282.58;1557.1;-943.764;264.573;0.29
2052.9;58.73;282.54;1562.2;-952.103;266.548;0.18
2062.9;58.74;282.45;1567.4;-960.442;268.333;0.23
2072.9;58.86;282.46;1572.6;-968.691;270.148;0.36
2082.9;58.78;282.36;1577.8;-977.049;272.024;0.35
2093;58.78;282.3;1583;-985.388;273.869;0.15
2102.9;58.78;282.25;1588.2;-993.717;275.614;0.13
2112.9;58.79;282.23;1593.3;-1002.016;277.449;0.06
2122.9;58.92;282.24;1598.5;-1010.465;279.255;0.39
2132.9;58.9;282.06;1603.7;-1018.754;281.15;0.47
2142.9;58.94;282.07;1608.9;-1027.003;282.895;0.12
2152.9;58.88;282.01;1614;-1035.521;284.71;0.24
2162.9;58.92;281.96;1619.2;-1043.77;286.475;0.18
2172.9;58.91;281.94;1624.3;-1052.099;288.251;0.06
2178;58.95;281.91;1626.9;-1056.335;289.174;0.27
2183;58.99;281.89;1629.5;-1060.478;290.076;0.27
2192;58.05;283.98;1634.2;-1068;291.802;6.68
2202;57.3;283.87;1639.6;-1076.202;293.835;2.27
2212;56.5;284.15;1645;-1084.33;295.863;2.5
2222;55.68;284.25;1650.6;-1092.376;297.898;2.47
2232;54.57;284.18;1656.3;-1100.328;299.912;3.33
2309;53;283.44;1701.8;-1160.654;314.74;0.65
2320;52;282.14;1708.5;-1169.164;316.672;3.92
2348;49.8;279.94;1726.2;-1190.487;320.837;2.98
2378;45.2;273.84;1746.4;-1212.414;323.529;6.43
2406;40.9;271.74;1766.9;-1231.498;324.472;4.86
2435;38.5;267.54;1789.2;-1250.012;324.371;3.72
2464;35.7;263.94;1812.3;-1267.449;323.089;3.66
2493;32.6;258.44;1836.4;-1283.525;320.628;4.52
2521;30.4;252.14;1860.2;-1297.663;316.941;4.24
2551;28.7;243.84;1886.3;-1311.36;311.434;4.43
2579;26.2;236.34;1911.2;-1322.544;305.04;4.57
2608;23.4;230.34;1937.5;-1332.308;297.813;3.89
2637;22;222.34;1964.3;-1340.402;290.12;3.5
2666;21.8;213.04;1991.2;-1346.998;281.588;3.59
2694;21.2;202.04;2017.3;-1351.734;272.532;4.36
2724;21.7;192.34;2045.2;-1354.955;262.083;3.58
2753;23.3;183.54;2072;-1356.454;251.117;3.85
2782;25.9;177.24;2098.4;-1356.503;239.062;3.82
2810;28.8;167.54;2123.2;-1354.751;226.359;5.69
2838;29.7;165.04;2147.7;-1351.504;213.071;1.63
2868;32.3;160.44;2173.4;-1346.9;198.334;3.52
2897;33.6;157.44;2197.7;-1341.225;183.622;2.16
2916;34.4;157.04;2213.5;-1337.114;173.825;1.31
2945;34.4;151.44;2237.4;-1329.999;159.084;3.27
2975;34.3;151.34;2262.2;-1321.893;144.224;0.11
3000;34.1;147.84;2282.9;-1314.782;132.109;2.37
3029;34.4;148.04;2306.8;-1306.118;118.278;0.33
3061;33.8;149.14;2333.3;-1296.766;102.968;0.81
3090;31.5;158.24;2357.8;-1289.814;88.998;5.6
3119;31.4;161.34;2382.5;-1284.587;74.803;1.68
3148;31.6;160.14;2407.2;-1279.588;60.5;0.68
